feature,importance
required_car_parking_spaces,15.64728063533036
is_domestic,13.687683648215154
lead_time,10.149577438485867
market_segment_Online_TA,9.793885043422762
adr,6.800564758446107
market_segment_Offline_TA_TO,5.516332918620938
total_of_special_requests,5.2824946508283075
arrival_date_week_number,3.9150745256074724
total_nights,2.8899855394285274
customer_type_Transient,2.8191753076785
hotel,2.6265250457508578
previous_cancellations,2.1292302732458053
deposit_type,2.126517103995243
booking_changes,2.1045409995881914
arrival_date_day_of_month,1.8536690478566993
customer_type_Transient_Party,1.5378418079603717
customer_type_Other,1.278810492701306
total_guests,1.1789175726464165
meal_SC,0.9496312498705789
previous_bookings_not_canceled,0.7344300899135489
reserved_room_type_Other,0.5365733958586416
arrival_date_month_July,0.5258514394084616
reserved_room_type_A,0.5142715561735061
market_segment_Direct,0.5120572027982626
distribution_channel_Direct,0.48792816979956105
distribution_channel_TA_TO,0.46460880360841056
meal_BB,0.42693536462781695
has_children,0.3918030852434249
reserved_room_type_E,0.3277236767016015
meal_HB,0.29324934643768164
arrival_date_month_August,0.2848631428142415
is_repeated_guest,0.24147163790715662
reserved_room_type_D,0.21639866240512007
market_segment_Other,0.20566145998887714
arrival_date_month_December,0.16227072010311253
arrival_date_month_September,0.1598735041783605
arrival_date_month_April,0.15358924878398544
distribution_channel_Other,0.15234262275754332
arrival_date_month_May,0.1472712096835323
arrival_date_month_October,0.1391001485937457
arrival_date_month_June,0.12509019787674677
days_in_waiting_list,0.12197995923237911
arrival_date_month_November,0.11887190394844288
arrival_date_month_January,0.07657239191155081
arrival_date_month_February,0.07378727319130775
meal_Other,0.0689998600033625
arrival_date_month_March,0.04868586637017446
