feature,importance
adr,2831
lead_time,2763
arrival_date_day_of_month,1670
arrival_date_week_number,1533
total_nights,1029
total_of_special_requests,587
is_domestic,491
booking_changes,356
total_guests,354
hotel,282
market_segment_Online_TA,201
customer_type_Transient,175
reserved_room_type_A,171
meal_BB,125
meal_SC,124
customer_type_Transient_Party,112
previous_bookings_not_canceled,111
arrival_date_month_July,111
reserved_room_type_D,107
previous_cancellations,101
reserved_room_type_Other,101
arrival_date_month_August,101
market_segment_Direct,94
required_car_parking_spaces,93
has_children,92
market_segment_Offline_TA_TO,92
market_segment_Other,82
meal_HB,82
distribution_channel_TA_TO,79
reserved_room_type_E,78
arrival_date_month_May,76
arrival_date_month_June,67
arrival_date_month_February,67
arrival_date_month_April,67
distribution_channel_Direct,65
deposit_type,64
distribution_channel_Other,64
is_repeated_guest,61
arrival_date_month_September,57
arrival_date_month_October,53
customer_type_Other,52
arrival_date_month_March,51
days_in_waiting_list,46
arrival_date_month_November,41
meal_Other,28
arrival_date_month_December,7
arrival_date_month_January,6
