feature,importance
lead_time,0.15923944513658178
total_of_special_requests,0.09798248418767107
is_domestic,0.09317855781745082
adr,0.0858431101945491
total_nights,0.05089014550242185
market_segment_Online_TA,0.04883039839713706
required_car_parking_spaces,0.04709808187014078
arrival_date_day_of_month,0.04651844395592603
arrival_date_week_number,0.04505952086075179
market_segment_Offline_TA_TO,0.0307052640626246
previous_cancellations,0.027948157437451195
booking_changes,0.026149899789969136
deposit_type,0.025981983203078648
customer_type_Transient,0.022941213210966822
total_guests,0.01988019946333588
customer_type_Transient_Party,0.01538392596386289
distribution_channel_TA_TO,0.015054850138134011
hotel,0.013446255968430285
distribution_channel_Direct,0.008113962887840411
market_segment_Direct,0.007543322995791744
reserved_room_type_A,0.007303443279554086
meal_BB,0.006669146850878431
has_children,0.006276510163298542
reserved_room_type_D,0.005870201150137902
reserved_room_type_Other,0.00539866531867534
meal_SC,0.005363868399430902
meal_HB,0.005307900460376181
market_segment_Other,0.0051079822813389535
arrival_date_month_August,0.004499995656055209
arrival_date_month_July,0.004499458611108574
previous_bookings_not_canceled,0.0043698825823256385
reserved_room_type_E,0.004302835037794659
customer_type_Other,0.004186917293108337
arrival_date_month_June,0.0038461156486136665
arrival_date_month_September,0.0038326955663268323
arrival_date_month_May,0.003801947779282829
arrival_date_month_April,0.003505451804004795
arrival_date_month_October,0.0033893950907893113
arrival_date_month_March,0.0033849704784475617
arrival_date_month_December,0.00337904973276104
arrival_date_month_February,0.0032819638063616785
is_repeated_guest,0.003064066904584293
distribution_channel_Other,0.0028517570361896887
arrival_date_month_November,0.002839848491495206
arrival_date_month_January,0.0027247499515547064
days_in_waiting_list,0.0018829438503784668
meal_Other,0.0012690137310110816
