feature,importance
required_car_parking_spaces,0.20376936
market_segment_Online_TA,0.112990074
deposit_type,0.095274925
previous_cancellations,0.06794314
is_domestic,0.057341494
customer_type_Transient,0.038758874
total_of_special_requests,0.035964593
market_segment_Offline_TA_TO,0.028764112
market_segment_Direct,0.028603416
previous_bookings_not_canceled,0.018454306
booking_changes,0.015672723
lead_time,0.015228681
customer_type_Other,0.014565493
customer_type_Transient_Party,0.013807437
meal_SC,0.013361524
hotel,0.0115527045
distribution_channel_TA_TO,0.011010182
arrival_date_month_December,0.009289589
total_nights,0.008844746
is_repeated_guest,0.008731436
arrival_date_month_September,0.008512899
adr,0.0084078
arrival_date_week_number,0.007978095
arrival_date_month_August,0.007959263
distribution_channel_Direct,0.007955018
market_segment_Other,0.007931315
has_children,0.0078100287
reserved_room_type_Other,0.0077200644
arrival_date_month_July,0.0072592935
total_guests,0.007253934
arrival_date_month_May,0.007238346
distribution_channel_Other,0.007057183
arrival_date_month_January,0.0070527205
meal_BB,0.006895112
arrival_date_month_April,0.0068042553
reserved_room_type_E,0.0067595616
meal_Other,0.006611416
reserved_room_type_A,0.0065292567
arrival_date_month_October,0.0065091187
arrival_date_month_March,0.0064795986
meal_HB,0.0063290596
arrival_date_month_November,0.006327246
arrival_date_month_February,0.0062365346
reserved_room_type_D,0.0062229745
arrival_date_month_June,0.006142087
days_in_waiting_list,0.006095129
arrival_date_day_of_month,0.005993857
